,data,target
0,turki mah gitu presiden nya hina ama presiden lebanon kena musibah eh turki duluan yg kirim bantu,h
1,maruf amin gantiin prabowo prabowo jkw turun trus prabowo jd presiden,h
2,pagi2 dah bahas politik ae nih bro lu tau kh ma ruf amin mundur wakil presiden naaah ntar prabowo yg gantiin,h
3,gadai ngga akun lelang langsung layan cabang kalo cek lelang,f
4,temenku yg beli akun lelang gadai kayak gin beli codan gitu kantor ga transaksi,h
5,kawan kuliah stan papar radikalisme gamblang,h
6,iyaaa gua suruh pkn stan tutup daftar 4 trs gua pen nyari poltek2 duluuuu gua gatau minat bakat gua anjir,h
7,pkn stan tutup 4 sampe 2024 ga percaya sampe denger langsung adek2 mahasiswa stan googling nyata iya moga,h
8,gara2 isu radikalisne kampus stan 4 kampus tutup terima mahasiswa rupa mahasiswa yg rajin shalat aji masjid anggap perintah embrio radikalisme bahaya aman negara,h
9,iya kemaren yg bilang tante orang tante stan tutup 4 udah deal udah capek nang mikirin,h
10,baca tl kalo stam ga buka karna pandem kalo yg 4 5 thn moratorium lulus daftar stan nya cmiiw,f
11,indra sjafri latih juventus head coach juventus,h
12,indra sjafri seret masuk bursa calon ganti maurizio sarri indonesia banding juventus sjafriball,f
13,pabrik petas yg ledak lebanon masuk serial the simpson ledak corona,h
14,ledak pabrik kembang api labuh beirut lebanon prediksi the simpson https co bm1pegljba,h
15,the simpson lebanon simpsons mesin,h
16,informasi kena the simpsons prediksi ledak beirut lebanon salah alias hoax,f
17,ledak film the simpson banget dgn lebanon dear arang film the simpson tolong film virus corona hilang muka bumi sapa tau ilang beneran,h
18,nyebarin edit kartun the simpsons ledak lebanon tolong stop nyebarin video ga sesuai fakta btw asli nya,f
19,edar peta dki jakarta hitam akibat covid 19 bin hoaks,f
20,hati dg masker gratis org yg kenal utama tmpat sepi krna jarang terjdi tindak jahat masker yg obat bius laku yg bs korban sadar,h
21,ati2 modus ngasi masker gratis kasi obat bius biar pingsan trus rampok,h
22,si kasi masker gratis masker kasi obat bius hipnotis motor bawa kabur hati2 indo mart wrg silah,h
23,orang yg sepeda motor masker gratis orang jl harap raya pekan masker pakai sadar masker obat bius sepeda motor bawa orang,h
24,hati hati waspada modus masker gratis yg sdh obat bius waspada lengah jahat intai,h
25,modus jahat laku bagiin masker gratis langsung suruh pake nyata masker udah kasih obat bius korban tidur laku langsung rampok harta korban modus sih kayak bagiin minum tumpang terminal stasiun musim mudik hati2 ya,h
26,tolong hipnotis masker ksh bius parno yg ksh masker gratis nyebarin berita tp jgn nyebarin hoax,f
27,oh ayolahh sekira blm bukti jgn giring opini coba search google byk portal2 berita ttg cek fakta masker gratis obat bius berita mengkonfimasi hoax jg berita 5 6hr yg blm 24jam oh lupa buka browser,f
28,imam ahmad bin hanbal milik ilmu filsafat untung ulama filsafat zindiq talbiis ibliis 1 75,h
29,rg rada gila dengerin haram imam syafii ilmu filsafat haram ajar rg rg kafir koplakklop,h
30,hukum ajar ilmu filsafat haram catat orang ajar milik luas dasar dasar ilmu agama akidah iman goyah,f
31,orang tua sebar hoaks,f
32,sebar hoax tangkap anak anak hidup orang tua masuk korban orang tua sebar hoax via whatsapp,f
33,hu um wkwkwkw sebar hoax orang tua wkwkwkw,f
34,kanada covid aman kendali ya enak bgt liat story nya orang yg kanada jalan2 tam ga pake masker foto2 bayi2 taman,h
35,fpi ga butuh skt fpi ga makan beling fpi ga kebal bacok fpi ga butuh 1 5 fpi cari ridho illahi alloh hu akbar tolak lupa,h
36,kiamat fpi benci ormas bayar yg bs latih kebal bacok pas praktek hidup takut jarum jangan2 fpi gabung imam al mahdi arti yg gabung imam al mahdi manusia2 pilih zaman wallaahu lam,h
37,negara hutang laku pinjam negeri katajokowi 31maret2020,h
38,bu sri mohon maaf sanggup tolong dengar masuk dri pakar independent kasihan indonesia,h
39,miris 5 pangkal militer negara komunis china nyata eks bangun indonesia 2015 lokasi natuna morowali kaltim 2 wilayah tahap bangun rahasia rezim jokowi tameng imperialis china,h
40,5 pangkal militer china indonesia bangun 2015 natuna morowali kaltim 3 pangkal militer china selesai bangun tahap finishing 85 senjata,h
41,loh pangkal militer laut natuna google earth rilis gambar pangkal militer china laut natuna utara,h
42,pabrik esemka kosong karyawan pecat drama,h
43,denger ktanya smua karyawan pabrik esemka kena corona mkanya pabrik libur,h
44,info laptop gratis perintah siswa,h
45,kemdikbud ri hallo program tipu ya laptop gratis siswa guru,h
46,orang aja bilang gak makan tempe,h
47,kalo presiden aja yg gaji lengkap fasilitas tau piye mundur aja deh,h
48,corona tembus 111 ribu jokowi https co lhlrqjhsyi jokowi angka mati covid 19 ri 0 8 persen global https co j37c9yszft klo presiden dgn lengkap alat negara sdm dana ajja ga tau mundur lbh hormat https co ecyrwrggkk,h
49,serba ndak jdi presiden eh dibatalin ma yaa mawas dgn kafasitas yg milik maksain,h
50,jrreenngg jrreenngg mandalika pesona dunia neo bal upaya pakdhe jokowi hadir negara pesona potensi lokal gerak ekonomi loka,h
51,ajang balap dunia motogp 2021 gelar mandalika lombok ntb klaim sbg sirkuit jalan raya dunia utk helat motogp,h
52,ledak mati guncang kota beirut lebanon lihat tayang tayang video awan hitam pekat limut labuh lalap api bangun bangun hancur tanah rupa buah ledak bom nuklir lebanon,h
53,detik ledak lebanon bom nuklir gaes link ledakanlebanon ledakanbeirut prayforlebanon,h
54,pagi pagi suguh video ledak lebanon ledak rem banget dah kayak bom nuklir,h
55,ngeri lebanon vidnya efek ledak kyk bom nuklir hiroshima nagasaki,h
56,dokter amerika suara lawan who pakai astronot masker,h
57,ngaku presiden dgn negara populasi islam dunia suara jokowi dengar kutuk cina ya nama turun komunis bela komunis untung gw anggap jokowi presiden gw sorry yg paham,h
58,bgi yg anak putra putri awasin yg suka maen hp anak hbis oprasi otak gara kna rdiasi sinar hp mhon ya sampe skrg anakya blm sadar aamiinkan jenak moga anak,h
59,hasil yg olh oknum utk amandemen uud 1945 china leluasa negara republik indonesia kait tka china rakyat tindak bahu utk problem masyarakat kendari adlh problem rakyat indonesia,h
60,https co qolnp7rl7o berita kendari panas tolak tka china,h
61,video bagus dokumentaai yg kelak merdeka daulat juang tolak rakyat hadap ekspansi china yg bungkus kirim tka sejarah tulis rakyat kendari patriot sejati,h
62,berita 105 tka china pd 1 juli 2020 2 agustus 2020 sdh 105 tka china bandara kendari polisi bubar demonstran,h
63,kendari ya masuk nya tka china dsna,h
64,sampe sentimen luas aksi kendari demo tolak 500 tka china demonstran berani laku sweeping ngeri,h
65,maksud sembelih hewan qurban mending uang bayar hutang negara,h
66,wapres idul adha makna sembelih qurban,h
67,mksd yai ga potong domba sapi beliin sembako aja gitu yai qurban sapi ga beli sembako sembako aja,h
68,fatal kalo temu bukti lolos uji klinis lepas ribut gelar harap derita covid hukum orang yg temu obat miris kalo hukum indonesia fokus produk,h
69,ghibran debat ama om rocky awas tanda dunia udah kejam batu coba ghibran rumah cermin ngga,h
70,debat klo martabak sang pisang gue pastiin rocky gerung ko,h
71,tp klo politik mending malu2in tolak pinggang teriak merdeka merdeka merdeka terimakasih,h
72,yg gw bingung materi debat visi misi jd cawalkot dinasti politik,h
73,wooii abu janda kabur ya gede luh fulus ridwan kamil ajak abu janda rawan uji vaksin corona fakta,h
74,bang ridwankamil lupa sohib abu janda dennysiregar7 eko kuntadhi jajar thank,h
75,tolong om putin kirim rudal gedung dpr istana tp bsok ya pas rapat jngn skrng lg saudara saudara yg demo,h
76,telpon putin aja kabul doa dr anak yg putin kirim rudal gedung dpr,h
77,dukung dukung sen korut buang2 rudal kirim aja gedung dpr wahyuaasih https co soabijemrc,h
78,jokowi 3 periode dukung bpk maju bangsa indonesia tanpabeban,h
79,bagus 3 periode gw dukung,h
80,kagok 3 periode mati we,h
81,gpp wakil nye yg nekat brani tempur yg gx libat partai atu dlm kabinet yg kait lembaga negara pdip no way atu lg si kaesang tri investasi hrs bujang gx kawin,h
82,ckp 2 periode andai pilih lg 3 tdk pilih lg sesal tdk kuatir stlh tampa beban periode santai kerja tokoh nasional yg muncul ganti jokowi visi misi jokowi yg blm tuntas,h
83,panoramakulonprogo monggo usaha mikro isi data link https co j9xkt8layk tunggu sore bingung dm dinaskoperasiukmkp,h
84,data data usul calon terima bantu usaha mikro pbum moga bantu realisasi laku usaha mikro kondisi sulit laku usaha mikro,h
85,pastikn account selamat terbaikla mark zuckerberg ketua pegawai eksekutif facebook cipta gratula akaun facebook dlm selamat taip gratula komen,h
86,im4bn mark zuckerberg ketua pegawai eksekutif facebook cipta gratula akaun selamat taip gratula komen merah akaun selamat tukar warna merah sila,h
87,china monyet test lab nya mahal indonesia uji coba nya manusia gratis,h
88,coba monyet gantiin monyet2,h
89,cebonger hubung china monyet uji coba vaksin perintah china perintah ri uji coba gratis krena cebong militan garda perintah manfaat klo yg rawan,h
90,laboratorium china monyet uji coba vaksin corona dhe ngotot laku vaksinasi corona masyarakat arti vaksin corona uji klinis anggap ah,h
91,kampus bandung seru zaman sy bocah isiin kotak sabun hand body bandung laut asmara kampus sekte puja setan madep kieu bdg aing,h
92,demo neo pki udah ijin buntel kentut maaf ralat petinggi polisi tinggal tunggu genderang perang tabuh aja,h
93,rocky gerung foto rizieq shihab bakar settingan intelijen alih isu gibran maju pilkada mmmmm out of the blue demo khilafah isu keras khawatir lahir neo pki emang kes aneh,h
94,yg suruh demo orng soleh org tsb neo pki yg sesat group bohong,h
95,gak prabowo ganti ma ruf proksinya kuat tenaga jaga ma ruf kursi wapres kalo ma ruf lengser kans putra mahkota 2024 ancam kalo sampe jatuh tangan prabowo yg musuh rival jantung ki lurah,h
96,presiden prancis emmanuel macron kemarin larang sekolah turki prancis merespon jam presiden turki erdogan perintah tutup sekolah prancis turki 70 sekolah,h
97,ajar izzah turki presiden perancis larang sekolah turki negara erdogan balas,h
98,1 pimpin presiden prancis emmanuel macron kemarin larang sekolah turki prancis merespon jam presiden turki erdogan perintah tutup sekolah prancis turki,h
99,emang 2024 pilpres yaa jokowi ken presiden umur hidup karno beda karno malu jokowi malu bayangin 2 periode kuasa kerja antem rakyat,h
100,fresh graduate sulit cari kerja tka china lenggang masuk indonesia pandemi hebat presiden menteri negara awak hidup jokowi presiden umur hidup,h
101,keppres jokowi presiden umur hidup wkwkwkwk,h
102,tuju hemat angkat jokowi presiden umur hidup ganti gibran,h
103,cilacap 8 camat kabupaten luas jawa inventaris buah pesawat terbang operasional moga camat republik indonesia,h
104,camat inventaris pesawat terbang guyon keren jabat era new normal,h
105,hati hati wanita haid sharing wanita wanita haid kali laku 4 1 minum ais air karbonat kelapa rana darah haid sisa dinding rahim laku kanser rahim,h
106,tutup facebook twitterid pakai ajang benci tindak kait,h
107,tutup aja cepat ga ancam2,h
108,facebook tutup indonesia rakyat kuat tdk pilih jokowi pilpres jokowi budimandjatmiko ratnaspaet,h
109,transfer of technology alibi zaman 2014 sampe skrg sektor transfer of technology dr china skrg rakyat kelinci coba vaksin dr china jabat dlu lead by example,h
110,ngotot vaksin china ya uji klinis biofarma produk sinovac china vaksin negeri maksa monyet coba kah,h
111,uji coba vaksin 19 negara china komunis yg lahan uji coba kelinci coba indonesia negara china yg laku negara perintah pusat jgn bodoh rakyat indonesia korban china komunis,h
112,vaksin china uji coba indonesia ri kelinci coba hasil kaya china gagal modar rakyat ri hasil numpang beken jokowi gagal ngga salah bilang nama uji coba dah watak,h
113,obyek coba mas uji klinis fase terahir china uji coba trhadap manusia pasuk fase terahir sebar mkanya beli indonesia uji coba fase terahir uji coba efek samping,f
114,hagia sophia fungsi nya edorgan ngamuk israel ubah masjid sejarah bar ruang acara nikah diam islam munafik,h
115,israel ubah masjid al ahmar bar astgfirullahhhh berilh israel azab langsung,h
116,laknatullah israel israel ubah puluh masjid palestina bar sinagoga hancur,h
117,tani malili sulsel polisi karna lahan mreka tdk beli pt sindoka biadab https co s6z07mdkkh,h
118,jokowi do2 tani malili sulsel tahan lahan asai pt sindoka,h
119,tani malili sulsel yg oknum krn tahan lahan cc budimandjatmiko http co rcdya4tpkd,h
120,bintang zodiac ubah nih nasa rasi bintang hadir rasi bintang 12 13 zodiak ubah,h
121,dengar booming banget zodiak nasa lihat gerak bumi geser zodiak nya 13,h
122,zodiak ubah nasa luncur zodiak sumbu bumi geser ahli astronomi zodiak 13 zodiak,h
123,nope berita sempet viral 2011 2016 udah ban astrologer ophiuchus masuk dalem constellation zodiac beda 12 zodiak constellation zodiac gak dipake,f
124,zodiak opiuchus 29 november 17 desember teliti nasa v,h
125,nasa konfirmasi via newscientist nggak nasa zodiak yg beda nasa gambar langit sesuai ilmu sdgnkn zodiak ilmiah nasa klaim rasi bintang zodiak,f
126,makan durian minum soda bunuh jgn tiru woy sungguh,h
127,life lesson this weeks makan durian minum soda hasil benar2 sakaratul maut ps minggu sembuh makan sambal hasil kambuh meriang,h
128,minum minum soda konsumsi durian lantas orang langsung tinggal ilmiah hubung makan durian minum soda tinggal,f
129,gaji guru imbal surga gitu gaji menteri jabat imbal neraka gimana tuju,h
130,ga ngasih tau guru2 maklum kasih aja contoh kaya raya gaji sbg jabat ngga sumbang utk sejahtera guru harta yg sdh limpah bs ngga sumbang utk mrk jg hidup sderhana sprti mrk,h
131,kalo guru imbal surga kalo tanoto sampoerna 20 cingcaelah hebat,h
132,goblok wapres rektur bumn gaji guru honor yg mencedaskan hidup bansa gaji 300 ribu manusia adil sosial nya wajar pancasila cc bangsaygsujud,h
133,kalo pks gerindra gabung pks gerindra yg liat teliti lipi gelagat petinggi pks yg rapat jokowi kalo getindra yg calonin presiden ga pt,h
134,yg ga paham emg langsung nyolot dok gin ya pks serang sm org dalem pake isu petinggi pks rapat jokowi bukti foto msi sdg silatrhmi gagal kudeta pake isu bikin gelora skrg jg ga konsisten khan isu yg,h
135,tilawah sultan erdogan shalat jum at perdana 86 masjid hagia shopia,h
136,heboh klepon haram muncul indomie b2 pt indofood ban jual makan non halal rentet rentet olah by design uji sabar umat islam,h
137,indomie saksang babi nder,h
138,gaduh kue klepon islami susul gaduh picu masyarakat edar foto indomie saksang babi khas sumatera utara senin malam 20 7 2020,f
139,dear indomie trima kasih tlah mnciptakan varian indomie saksang babi klian yg cangkeman babi haram babi haram ngak beli kntol,h
140,ahli virologi china kabur amerika virus corona laboratorium militer,h
141,takut bunuh ahli virus china kabur as saksi covid 19 hasil sekongkol jahat,h
142,thermo gun rusak otak berita langsung heboh masy viralnya video bincang pakar kuis helmy yahya dgn pakar ekonomi ichsanuddin noor medsos krn hand gun termometer utk periksa kabel panas laser pakai utk periksa,h
143,rs pas nunggu antri curi dengar bapak2 lg tlp blg jgn ukur termometer kepala tangan aja rusak jaring otak hmm oke korban grup wa bapak2,h
144,kerja thermo gun pantul gelombang inframerah tubuh thermo gun dahi lulus uji aman khawatir,f
145,mama wa an sm temennya dikasitau jgn termometer gun karna rusak organ kepala otak,h
146,informasi bilang termometer tembak rusak jaring otak hoax thermo gun aman akurat laku skrining gejala demam akibat covid 19,f
147,coba tu pasu seragam polisi ajak ngomong pake bahasa indonesia orang china,h
148,hapus peta daring palestina kecam google apple google apple dengar kritik kecam masyarakat internasional krn hapus dg fakta eksistensi palestina yg pbb dll legalisasi hasil teror israel,h
149,biadab palestina resmi hapus google maps hapus palestina berita hapus cari,h
150,peta palestina hapus google map 1 pbb diam aja 2 oki responnya 3 negri mayoritas muslim protes dunia sdg,h
