Tweet Text,Tweet URL,Fakta / Hoax,Sumber Fakta
"Turki mah gitu ..presiden nya di hina ama presiden lebanon, begitu kena musibah eh turki duluan yg kirim bantu",https://twitter.com/Sumpah_dah/status/1291385785711595521?s=08,Hoax ,
maruf amin gantiin prabowo prabowo naik jkw turun trus prabowo jd presiden,https://twitter.com/Dekie_DUCATI/status/1292841961108336640?s=08,Hoax ,https://m.liputan6.com/cek-fakta/read/4327854/cek-fakta-tidak-benar-prabowo-bakal-gantikan-maruf-amin-sebagai-wakil-presiden-ri
"Pagi2 dah bahas politik ae..

""nih bro asal lu tau, nanti KH. Ma'ruf Amin bakal mundur dari wakil presiden, naaah ntar Prabowo yg gantiin""",https://twitter.com/BigBangHam/status/1293363995974361088?s=19,Hoax ,https://m.liputan6.com/cek-fakta/read/4327854/cek-fakta-tidak-benar-prabowo-bakal-gantikan-maruf-amin-sebagai-wakil-presiden-ri
"""pegadaian ngga punya akun lelang, bisa langsung ke pelayanan cabang kalo mau cek lelang""",https://twitter.com/yhakalicuy/status/1290794846588829696?s=19,Fakta ,https://m.liputan6.com/cek-fakta/read/4327978/cek-fakta-tidak-benar-pt-pegadaian-punya-akun-instagram-untuk-lelang-online
"Temenku ada yg pernah beli di akun lelang pegadaian kayak gini, belinya codan gitu tapi diluar kantor, soalnya ga boleh transaksi di dalam katanya",https://twitter.com/aaaaliiiiaaaann/status/1283223283496710144?s=19,Hoax ,https://m.liputan6.com/cek-fakta/read/4327978/cek-fakta-tidak-benar-pt-pegadaian-punya-akun-instagram-untuk-lelang-online
Kawanku yang kuliah di STAN memang terpapar radikalisme... sepertinya itu gamblang,https://twitter.com/Marsose23/status/1292227553608925184?s=19,Hoax ,https://m.liputan6.com/cek-fakta/read/4326350/cek-fakta-kampus-stan-ditutup-karena-isu-radikalisme-ini-faktanya
"iyaaa gua di awal disuruh ke pkn stan kan, tapi tutup pendaftaran 4 tahun. Trs gua pen nyari poltek2 duluuuu. Gua gatau minat bakat gua anjir",https://twitter.com/pfluto/status/1290911568197107712?s=19,Hoax ,https://m.liputan6.com/cek-fakta/read/4326350/cek-fakta-kampus-stan-ditutup-karena-isu-radikalisme-ini-faktanya
PKN STAN tutup selama 4 tahun sampe 2024.. Awalnya ga percaya sampe akhirnya tadi denger langsung dari adek2 mahasiswa STAN dan googling ternyata iya.. Semoga janganlah.. :'(,https://twitter.com/Ojhaa_Zadezha/status/1287056856834138112?s=19,Hoax ,https://m.liputan6.com/cek-fakta/read/4326350/cek-fakta-kampus-stan-ditutup-karena-isu-radikalisme-ini-faktanya
"Gara2 isu Radikalisne di kampus STAN, maka selama 4 tahun kedepan kampus itu di tutup dan tidak menerima mahasiswa baru. Rupanya sekarang mahasiswa yg rajin shalat dan pengajian di Masjid dianggap pemerintah sebagai embrio Radikalisme sehingga membahayakan keamanan negara ",https://twitter.com/alfathiraja2811/status/1284787675497545728?s=19,Hoax ,https://m.liputan6.com/cek-fakta/read/4326350/cek-fakta-kampus-stan-ditutup-karena-isu-radikalisme-ini-faktanya
"Katanya iya:( kemaren juga ada yg bilang, ""dia"" ini punya tante orang dalam kata tantenya juga stan tutup 4 tahun udah deal😭, udah capek nangis mikirin ini😭",https://twitter.com/saambiiss/status/1265936058388082688?s=19,Hoax ,https://m.liputan6.com/cek-fakta/read/4326350/cek-fakta-kampus-stan-ditutup-karena-isu-radikalisme-ini-faktanya
"Pernah baca di tl kalo tahun ini stam ga buka itu karna pandem i , kalo yg 4-5 thn itu moratorium lulusannya bukan pendaftaran stan nya. Cmiiw",https://twitter.com/Bismillahbiiisa/status/1293247411553316866?s=19,Fakta,https://m.liputan6.com/cek-fakta/read/4326350/cek-fakta-kampus-stan-ditutup-karena-isu-radikalisme-ini-faktanya
